text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
답이없다,답이없다,답이없다,2024-10-17T14:48:56+09:00,0.0491,0.9376,0.0133,1
"유재석을 국회로~~
도둑놈 답없는 국회의원보다
유재석이 좋은듯",유재석을 국회로 도둑놈 답없는 국회의원보다 유재석이 좋은듯,유재석을 국회로 도둑놈 답없는 국회의원보다 유재석이 좋은듯,2024-12-06T11:48:55+09:00,0.093,0.7899,0.117,1
"희망고문 가지지 마시길..
전에도 말했지만 5만원 깨지고 4만따리 갑니다
한달내내 외국인이 던지는데 지금 저점이라 생각하는건 추세를 거스리는거죠 
미국 나스닥 조정직전인데 적어도 대선 끝나고 반등 후 지지 보고 담으시길... 진짜 말려도 주변에서 삼전에 올인해서 담는거 보면 참 인간지표는 늘 정답이네요",희망고문 가지지 마시길 전에도 말했지만 5만원 깨지고 4만따리 갑니다 한달내내 외국인이 던지는데 지금 저점이라 생각하는건 추세를 거스리는거죠 미국 나스닥 조정직전인데 적어도 대선 끝나고 반등 후 지지 보고 담으시길 진짜 말려도 주변에서 삼전에 올인해서 담는거 보면 참 인간지표는 늘 정답이네요,희망고문 가지지 마시길.. 전에도 말했지만 5만원 깨지고 4만따리 갑니다 한달내내 외국인이 던지는데 지금 저점이라 생각하는건 추세를 거스리는거죠 미국 나스닥 조정직전인데 적어도 대선 끝나고 반등 후 지지 보고 담으시길... 진짜 말려도 주변에서 삼전에 올인해서 담는거 보면 참 인간지표는 늘 정답이네요,2024-10-24T18:01:33+09:00,0.2968,0.3275,0.3757,2
"보상이 경쟁사 대비 좋지않아 우수 인재의 이직이 많습니다.
경쟁력을 올려야 하는시기인데, 어떻게 해야하나요? 회사차원에 대책이 있나요?

진심을 담아 남아달라고 부탁해주세요.
- 메모리 사업부장(직원과 소통하는 시간에서)",보상이 경쟁사 대비 좋지않아 우수 인재의 이직이 많습니다 경쟁력을 올려야 하는시기인데 어떻게 해야하나요 회사차원에 대책이 있나요 진심을 담아 남아달라고 부탁해주세요 메모리 사업부장직원과 소통하는 시간에서,"보상이 경쟁사 대비 좋지않아 우수 인재의 이직이 많습니다. 경쟁력을 올려야 하는시기인데, 어떻게 해야하나요? 회사차원에 대책이 있나요? 진심을 담아 남아달라고 부탁해주세요. 메모리 사업부장직원과 소통하는 시간에서",2024-11-12T09:23:01+09:00,0.184,0.5794,0.2366,1
사만전자 가즈아~~~,사만전자 가즈아,사만전자 가즈아,2024-10-24T09:08:50+09:00,0.0315,0.0782,0.8904,2
거래량이 안따라주네 아직 바닥 아닌듯,거래량이 안따라주네 아직 바닥 아닌듯,거래량이 안따라주네 아직 바닥 아닌듯,2024-10-28T12:35:34+09:00,0.3086,0.5791,0.1124,1
어짜피 오를거 안다 ! 6만원 가자 17일까지 존버 이후 익절하든 존버하든 결정하겠습니다,어짜피 오를거 안다 6만원 가자 17일까지 존버 이후 익절하든 존버하든 결정하겠습니다,어짜피 오를거 안다 ! 6만원 가자 17일까지 존버 이후 익절하든 존버하든 결정하겠습니다,2025-03-10T15:16:52+09:00,0.1249,0.1244,0.7507,2
늦기전에,늦기전에,늦기전에,2024-12-02T08:41:17+09:00,0.0432,0.935,0.0218,1
육만전자..너무 감동스러워서 눈물이...ㅜ,육만전자너무 감동스러워서 눈물이,육만전자..너무 감동스러워서 눈물이...ㅜ,2025-03-20T15:12:47+09:00,0.0433,0.8914,0.0653,1
8만가즈아,8만가즈아,8만가즈아,2023-05-26T10:17:43+09:00,0.0234,0.0705,0.9062,2
차근차근 모으면 돰,차근차근 모으면 돰,차근차근 모으면 돰,2024-11-06T13:42:48+09:00,0.0377,0.8882,0.0741,1
"이번주에 우선 80,000원 가자",이번주에 우선 80000원 가자,"이번주에 우선 80,000원 가자",2024-08-27T10:27:32+09:00,0.0421,0.2139,0.744,2
내일 만약에 79600원제자리 돌려 놓으면 레전드 월요일시작이랑 금요일마지막제자리 게임ㅋㅋㅋㅋ,내일 만약에 79600원제자리 돌려 놓으면 레전드 월요일시작이랑 금요일마지막제자리 게임,내일 만약에 79600원제자리 돌려 놓으면 레전드 월요일시작이랑 금요일마지막제자리 게임ㅋㅋㅋㅋ,2024-04-25T15:09:55+09:00,0.1689,0.5345,0.2965,1
"제조업으로 성공해서 끝까지 제조업으로 성공하려는 기업의 최후다.

그 놈의 DRAM DRAM DRAM 거리면서 메모리 반도체 시장만 고수할께 아니라.

엑시노스같은 볍신 같은 칩을 계속해서 만드는 한이 있어도 10년전 부터 계속 시스템 반도체 개발에 투자 많이 했으면 최소한 쓸만한 칩만들어서 갤럭시에 넣어도 되고

타이젠같은 볍신 같은 운영체제 계속 만드는 한이 있어도 10년 전부터 계속해 투자하고 열심히 했으면 최소한 전세계 삼성폰 점유율이 20퍼인데 타이젠이 애플, 안드로이드와 견줄만한 독자적인 운영체제가 되었을 수도 있다.

엔비디아, 테슬라에 왜 전세계 사람들이 열광하고 혁신이라고 하는지 생각해봐야됨. 삼전은 거기에 비하면 발톱의 떼만도 못한 회사임.",제조업으로 성공해서 끝까지 제조업으로 성공하려는 기업의 최후다 그 놈의 DRAM DRAM DRAM 거리면서 메모리 반도체 시장만 고수할께 아니라 엑시노스같은 볍신 같은 칩을 계속해서 만드는 한이 있어도 10년전 부터 계속 시스템 반도체 개발에 투자 많이 했으면 최소한 쓸만한 칩만들어서 갤럭시에 넣어도 되고 타이젠같은 볍신 같은 운영체제 계속 만드는 한이 있어도 10년 전부터 계속해 투자하고 열심히 했으면 최소한 전세계 삼성폰 점유율이 20퍼인데 타이젠이 애플 안드로이드와 견줄만한 독자적인 운영체제가 되었을 수도 있다 엔비디아 테슬라에 왜 전세계 사람들이 열광하고 혁신이라고 하는지 생각해봐야됨 삼전은 거기에 비하면 발톱의 떼만도 못한 회사임,"제조업으로 성공해서 끝까지 제조업으로 성공하려는 기업의 최후다. 그 놈의 DRAM DRAM DRAM 거리면서 메모리 반도체 시장만 고수할께 아니라. 엑시노스같은 볍신 같은 칩을 계속해서 만드는 한이 있어도 10년전 부터 계속 시스템 반도체 개발에 투자 많이 했으면 최소한 쓸만한 칩만들어서 갤럭시에 넣어도 되고 타이젠같은 볍신 같은 운영체제 계속 만드는 한이 있어도 10년 전부터 계속해 투자하고 열심히 했으면 최소한 전세계 삼성폰 점유율이 20퍼인데 타이젠이 애플, 안드로이드와 견줄만한 독자적인 운영체제가 되었을 수도 있다. 엔비디아, 테슬라에 왜 전세계 사람들이 열광하고 혁신이라고 하는지 생각해봐야됨. 삼전은 거기에 비하면 발톱의 떼만도 못한 회사임.",2024-11-08T15:32:07+09:00,0.2003,0.5492,0.2505,1
삼전은 신이야~ 73층의 아우성에 드디어 화답해 주는구나! 본전치기만 할께! 제발~,삼전은 신이야 73층의 아우성에 드디어 화답해 주는구나 본전치기만 할께 제발,삼전은 신이야 73층의 아우성에 드디어 화답해 주는구나! 본전치기만 할께! 제발,2023-06-22T09:59:27+09:00,0.1328,0.6445,0.2228,1
"외국인 낚시 지렸다 ㅋ

외상 긁으신분 ~?",외국인 낚시 지렸다 외상 긁으신분,외국인 낚시 지렸다 ㅋ 외상 긁으신분 ?,2024-11-07T15:54:35+09:00,0.1041,0.8459,0.05,1
관련어뵤으니 하닉 7500오를때 빌빌대지.. 안타깝네진짜ㅠ,관련어뵤으니 하닉 7500오를때 빌빌대지 안타깝네진짜,관련어뵤으니 하닉 7500오를때 빌빌대지.. 안타깝네진짜ㅠ,2024-02-22T16:25:25+09:00,0.3492,0.4647,0.1861,1
화요일날 떨어질지모르나 월요일엔 오를거같은 느낌이 와서 바로 추매,화요일날 떨어질지모르나 월요일엔 오를거같은 느낌이 와서 바로 추매,화요일날 떨어질지모르나 월요일엔 오를거같은 느낌이 와서 바로 추매,2024-09-20T15:48:40+09:00,0.4644,0.1732,0.3623,0
단타 조았다,단타 조았다,단타 조았다,2024-12-12T15:57:30+09:00,0.0479,0.8795,0.0726,1
토스  렉심하네  짜증 나네,토스 렉심하네 짜증 나네,토스 렉심하네 짜증 나네,2023-07-24T09:24:07+09:00,0.0676,0.8958,0.0365,1
"30선이 60선 터치 직전, RSI 우상향. 차트로는 추세전환이 확실한데 리더십문제 해소만 좀 되면 폭등 가능성 있다고봅니다.",30선이 60선 터치 직전 RSI 우상향 차트로는 추세전환이 확실한데 리더십문제 해소만 좀 되면 폭등 가능성 있다고봅니다,"30선이 60선 터치 직전, RSI 우상향. 차트로는 추세전환이 확실한데 리더십문제 해소만 좀 되면 폭등 가능성 있다고봅니다.",2025-02-13T12:21:39+09:00,0.25,0.1944,0.5556,2
그동안 고생많으셨습니다  축하드립니다 !!!,그동안 고생많으셨습니다 축하드립니다,그동안 고생많으셨습니다 축하드립니다 !!!,2025-01-08T12:23:24+09:00,0.0376,0.8495,0.1129,1
국장 인버스 사라고 했제~,국장 인버스 사라고 했제,국장 인버스 사라고 했제,2024-12-27T12:53:27+09:00,0.1827,0.7264,0.0909,1
오만전자예측 대황니니,오만전자예측 대황니니,오만전자예측 대황니니,2024-10-01T23:32:56+09:00,0.0643,0.9049,0.0308,1
이럴일이가 ㅜㅜ 뭔 지수가 바이오처럼 빠지나 ㅠㅜ,이럴일이가 뭔 지수가 바이오처럼 빠지나,이럴일이가 ㅜㅜ 뭔 지수가 바이오처럼 빠지나 ㅠㅜ,2024-08-05T11:52:29+09:00,0.2302,0.668,0.1018,1
이제가는거야,이제가는거야,이제가는거야,2024-10-15T09:02:57+09:00,0.0559,0.8409,0.1032,1
ㅋㅋ,,ㅋㅋ,2024-11-11T15:22:14+09:00,0.0291,0.958,0.0129,1
누가 이기나 해보자,누가 이기나 해보자,누가 이기나 해보자,2024-10-24T15:29:53+09:00,0.0611,0.6297,0.3092,1
"이거 사는 이유가 뭔가요?? 
미국ETF 보다도 수익률 현저하게 밀리는데…",이거 사는 이유가 뭔가요 미국ETF 보다도 수익률 현저하게 밀리는데,이거 사는 이유가 뭔가요?? 미국ETF 보다도 수익률 현저하게 밀리는데,2024-11-11T11:30:33+09:00,0.2051,0.6273,0.1676,1
정말 답이다 없네,정말 답이다 없네,정말 답이다 없네,2024-12-30T09:19:30+09:00,0.0374,0.9474,0.0152,1
ㅋ 내가 다시 진입하니 떨어지는구나,내가 다시 진입하니 떨어지는구나,ㅋ 내가 다시 진입하니 떨어지는구나,2025-01-09T16:17:50+09:00,0.2083,0.3863,0.4053,2
간다,간다,간다,2024-05-27T14:49:47+09:00,0.0342,0.2447,0.7212,2
5년 차트에서 M자 탈모가 생긴 것으로 보아 앞으로 다 빠지지 않을까 싶습니다. 어떻게 생각하시나요?,5년 차트에서 M자 탈모가 생긴 것으로 보아 앞으로 다 빠지지 않을까 싶습니다 어떻게 생각하시나요,5년 차트에서 M자 탈모가 생긴 것으로 보아 앞으로 다 빠지지 않을까 싶습니다. 어떻게 생각하시나요?,2024-12-30T09:29:48+09:00,0.112,0.8134,0.0746,1
"미리 알고 있지 않아서야 이렇게 깔끔하게
털어가냐 ㅎㅎ",미리 알고 있지 않아서야 이렇게 깔끔하게 털어가냐,미리 알고 있지 않아서야 이렇게 깔끔하게 털어가냐 ㅎㅎ,2024-11-20T14:49:09+09:00,0.0978,0.862,0.0403,1
근데 삼전은 뭔 근거로 사는거임 님들 적자에 해외에서도 발 빼고 좋은 소식 본게 단 하나도 없는거 같은데,근데 삼전은 뭔 근거로 사는거임 님들 적자에 해외에서도 발 빼고 좋은 소식 본게 단 하나도 없는거 같은데,근데 삼전은 뭔 근거로 사는거임 님들 적자에 해외에서도 발 빼고 좋은 소식 본게 단 하나도 없는거 같은데,2024-09-30T20:47:08+09:00,0.1946,0.73,0.0755,1
13일의 금요일에 네마녀의날이라..,13일의 금요일에 네마녀의날이라,13일의 금요일에 네마녀의날이라..,2024-09-12T05:34:47+09:00,0.076,0.7435,0.1805,1
아직도 안팔았냐? 호구들이냐 진짜?,아직도 안팔았냐 호구들이냐 진짜,아직도 안팔았냐? 호구들이냐 진짜?,2024-10-25T09:49:57+09:00,0.2584,0.6775,0.0641,1
버거형.. 주둥이 틀기전에 올려놔..ㅠㅠ,버거형 주둥이 틀기전에 올려놔,버거형.. 주둥이 틀기전에 올려놔..ㅠㅠ,2024-10-22T09:22:19+09:00,0.0711,0.8879,0.0411,1
개미들아 좀가자,개미들아 좀가자,개미들아 좀가자,2024-07-08T15:47:27+09:00,0.0444,0.0715,0.8841,2
아  진짜 지긋지긋합니다.,아 진짜 지긋지긋합니다,아 진짜 지긋지긋합니다.,2025-03-14T09:32:58+09:00,0.056,0.9107,0.0333,1
진짜 정치질은 니들 집 밥상머리에서나 처 해라! 가족들 다들 무시하니 이런데다 글 싸지르는데 진짜 토스 게시판 관리 안 하네!!!!,진짜 정치질은 니들 집 밥상머리에서나 처 해라 가족들 다들 무시하니 이런데다 글 싸지르는데 진짜 토스 게시판 관리 안 하네,진짜 정치질은 니들 집 밥상머리에서나 처 해라! 가족들 다들 무시하니 이런데다 글 싸지르는데 진짜 토스 게시판 관리 안 하네!!!!,2025-01-04T19:22:26+09:00,0.2365,0.6946,0.069,1
국장털고 미장올리겠지,국장털고 미장올리겠지,국장털고 미장올리겠지,2024-10-11T01:45:30+09:00,0.1566,0.7164,0.127,1
오 잘버티는데?  화팅,오 잘버티는데 화팅,오 잘버티는데? 화팅,2024-11-29T16:25:09+09:00,0.052,0.8906,0.0573,1
이거50% 팔고 어제 테슬라 레버리지 쳤더니 바로 메꿨음,이거50 팔고 어제 테슬라 레버리지 쳤더니 바로 메꿨음,이거50 팔고 어제 테슬라 레버리지 쳤더니 바로 메꿨음,2024-11-12T09:06:08+09:00,0.3742,0.4253,0.2004,1
실적 박았네,실적 박았네,실적 박았네,2024-11-01T14:59:59+09:00,0.0618,0.8968,0.0415,1
미장도 망이네,미장도 망이네,미장도 망이네,2024-04-13T07:55:22+09:00,0.1559,0.7956,0.0486,1
평단63900원인데 쭉 가지고 가도 될까요?,평단63900원인데 쭉 가지고 가도 될까요,평단63900원인데 쭉 가지고 가도 될까요?,2024-09-25T09:54:28+09:00,0.0523,0.8992,0.0485,1
오 좀심한데....,오 좀심한데,오 좀심한데....,2024-05-29T14:39:12+09:00,0.0377,0.9427,0.0196,1
오전애 저가애  구매하신분들 축하들여요,오전애 저가애 구매하신분들 축하들여요,오전애 저가애 구매하신분들 축하들여요,2024-03-19T14:51:32+09:00,0.1489,0.4696,0.3815,1
잘가  삼성 총선후에 다시 보자,잘가 삼성 총선후에 다시 보자,잘가 삼성 총선후에 다시 보자,2024-03-08T14:08:41+09:00,0.085,0.75,0.165,1
시초가 미쳤네..,시초가 미쳤네,시초가 미쳤네..,2024-10-04T08:55:03+09:00,0.0553,0.9222,0.0225,1
ㅠㅠㅠㅠㅠㅠ,,ㅠㅠㅠㅠㅠㅠ,2025-02-04T10:25:00+09:00,0.0398,0.9442,0.016,1
삼성때문에 기분이 엉망이구만ㅋ,삼성때문에 기분이 엉망이구만,삼성때문에 기분이 엉망이구만ㅋ,2025-01-10T10:38:34+09:00,0.0947,0.8652,0.0401,1
짜증나네 ᆢ,짜증나네,짜증나네 ᆢ,2025-01-07T12:22:57+09:00,0.0415,0.9431,0.0154,1
4만원 풀매가즈아,4만원 풀매가즈아,4만원 풀매가즈아,2024-12-20T14:26:45+09:00,0.1328,0.0825,0.7846,2
떨어진다아아아아아아ㅏ,떨어진다아아아아아아,떨어진다아아아아아아ㅏ,2025-01-22T11:35:11+09:00,0.0398,0.9442,0.016,1
하닉이 1등이네요 삼전은 삼류 이게현실이네요 ㅠㅠ,하닉이 1등이네요 삼전은 삼류 이게현실이네요,하닉이 1등이네요 삼전은 삼류 이게현실이네요 ㅠㅠ,2024-10-24T12:19:44+09:00,0.1374,0.6597,0.2029,1
미리사두삼 ㅋㅋㅋ내일 오를거임ㅋㅋ,미리사두삼 내일 오를거임,미리사두삼 ㅋㅋㅋ내일 오를거임ㅋㅋ,2023-06-08T12:57:52+09:00,0.1787,0.2601,0.5612,2
"오래간만에 와 봤는데 더 있다가 와야겠네
ㅂㅇ!",오래간만에 와 봤는데 더 있다가 와야겠네,오래간만에 와 봤는데 더 있다가 와야겠네 ㅂㅇ!,2025-01-22T18:51:22+09:00,0.0795,0.7433,0.1772,1
물타기 실패,물타기 실패,물타기 실패,2024-11-06T08:41:10+09:00,0.1062,0.8091,0.0847,1
"51000원
와주세요
비나이다비나이다
몰빵가능합니다
한번만 기회를 주세요",51000원 와주세요 비나이다비나이다 몰빵가능합니다 한번만 기회를 주세요,51000원 와주세요 비나이다비나이다 몰빵가능합니다 한번만 기회를 주세요,2024-10-25T21:39:59+09:00,0.094,0.293,0.613,2
ㄹㅇ 언제오르냐 진짜,언제오르냐 진짜,ㄹㅇ 언제오르냐 진짜,2024-12-18T21:58:24+09:00,0.2112,0.4013,0.3875,1
개미들아 영차 영차 오늘 외인 죽여보자,개미들아 영차 영차 오늘 외인 죽여보자,개미들아 영차 영차 오늘 외인 죽여보자,2024-11-14T10:43:25+09:00,0.1859,0.2297,0.5844,2
8만이 쇼생크 탈출 될듯,8만이 쇼생크 탈출 될듯,8만이 쇼생크 탈출 될듯,2024-02-28T10:28:39+09:00,0.1369,0.6338,0.2293,1
항상 아침에 오르고 오후 되면 떨어지는 삼전,항상 아침에 오르고 오후 되면 떨어지는 삼전,항상 아침에 오르고 오후 되면 떨어지는 삼전,2024-02-07T13:26:35+09:00,0.2479,0.1925,0.5597,2
안사고 후회 하삼,안사고 후회 하삼,안사고 후회 하삼,2024-10-28T09:17:25+09:00,0.1308,0.8312,0.038,1
9만전자 갈거라고 했잖아요  ㅠㅠㅠㅠㅠ,9만전자 갈거라고 했잖아요,9만전자 갈거라고 했잖아요 ㅠㅠㅠㅠㅠ,2024-07-22T12:31:02+09:00,0.0435,0.882,0.0744,1
이건 진짜 억까다 ㅎㅎ,이건 진짜 억까다,이건 진짜 억까다 ㅎㅎ,2024-09-09T12:18:22+09:00,0.0318,0.9433,0.0249,1
올~ 8시49분 현제 75200,올 8시49분 현제 75200,올 8시49분 현제 75200,2024-08-30T08:49:38+09:00,0.0593,0.8686,0.072,1
와 .. 또 오만전자 가나 ㅡㅡ^,와 또 오만전자 가나,와 .. 또 오만전자 가나 ㅡㅡ,2024-10-02T09:14:58+09:00,0.0729,0.8846,0.0425,1
순대국밥 ㅠ,순대국밥,순대국밥 ㅠ,2024-11-12T12:41:11+09:00,0.0326,0.9441,0.0233,1
☺️,,,2023-12-20T14:58:47+09:00,0.0365,0.9481,0.0154,1
소오름,소오름,소오름,2024-11-13T09:19:46+09:00,0.0504,0.924,0.0257,1
가자 제발,가자 제발,가자 제발,2025-03-17T09:21:43+09:00,0.0278,0.0888,0.8834,2
좀더 살까?,좀더 살까,좀더 살까?,2025-01-17T14:04:11+09:00,0.0413,0.9357,0.023,1
"열받아서 숨겨놧어요
3년뒤에 열어볼게요…",열받아서 숨겨놧어요 3년뒤에 열어볼게요,열받아서 숨겨놧어요 3년뒤에 열어볼게요,2024-11-11T15:58:32+09:00,0.0822,0.8785,0.0393,1
와 8만 깨지겠네,와 8만 깨지겠네,와 8만 깨지겠네,2024-05-09T13:57:57+09:00,0.1219,0.7974,0.0807,1
라면과 방독면을 매수해라,라면과 방독면을 매수해라,라면과 방독면을 매수해라,2024-12-03T22:49:40+09:00,0.2214,0.2102,0.5684,2
외인들 언제까지 매도를 할지!!!,외인들 언제까지 매도를 할지,외인들 언제까지 매도를 할지!!!,2024-12-13T13:06:32+09:00,0.4861,0.429,0.085,0
반대매매 기대하며 하한가30%에매수걸면댈라나..,반대매매 기대하며 하한가30에매수걸면댈라나,반대매매 기대하며 하한가30에매수걸면댈라나..,2024-12-04T08:44:24+09:00,0.3299,0.2138,0.4562,2
와....,와,와....,2024-11-14T16:21:07+09:00,0.0243,0.9578,0.0178,1
7만 전자가 꿈이에요,7만 전자가 꿈이에요,7만 전자가 꿈이에요,2024-10-23T13:27:39+09:00,0.0447,0.9257,0.0295,1
4만전자 보는 날인가..?,4만전자 보는 날인가,4만전자 보는 날인가..?,2024-11-14T09:51:56+09:00,0.0544,0.8883,0.0574,1
방금 5만주 거래 뜬거봄 ㄷㄷ 뭔일나려나 진짜 개떡상인가,방금 5만주 거래 뜬거봄 뭔일나려나 진짜 개떡상인가,방금 5만주 거래 뜬거봄 ㄷㄷ 뭔일나려나 진짜 개떡상인가,2025-03-18T09:23:37+09:00,0.3248,0.2651,0.4101,2
아주좋아,아주좋아,아주좋아,2025-02-04T08:58:46+09:00,0.0323,0.876,0.0916,1
"국장🏊‍♂️
어푸어푸",국장 어푸어푸,국장 어푸어푸,2025-03-14T10:00:39+09:00,0.0378,0.9441,0.0181,1
더 많이 탈걸 후회중...또르륵,더 많이 탈걸 후회중또르륵,더 많이 탈걸 후회중...또르륵,2025-02-18T16:15:21+09:00,0.0621,0.8921,0.0459,1
퉷,퉷,퉷,2024-11-06T10:37:04+09:00,0.0323,0.9517,0.0161,1
그전에는 없던 리스크가 7월에는 갑자기 뿅 하고 생겼나?,그전에는 없던 리스크가 7월에는 갑자기 뿅 하고 생겼나,그전에는 없던 리스크가 7월에는 갑자기 뿅 하고 생겼나?,2024-12-21T20:45:45+09:00,0.1527,0.7816,0.0657,1
장초반빼네,장초반빼네,장초반빼네,2024-06-04T08:58:39+09:00,0.0639,0.9093,0.0268,1
개인이 끌어 올리는군요. 내일은 팝콘 각입니다. 관전 중... 게임스톱 이후에 즐거운 시간이네요.,개인이 끌어 올리는군요 내일은 팝콘 각입니다 관전 중 게임스톱 이후에 즐거운 시간이네요,개인이 끌어 올리는군요. 내일은 팝콘 각입니다. 관전 중... 게임스톱 이후에 즐거운 시간이네요.,2024-09-26T15:29:54+09:00,0.1567,0.5835,0.2598,1
쌀때 더 사야 함,쌀때 더 사야 함,쌀때 더 사야 함,2024-04-05T11:37:16+09:00,0.0593,0.901,0.0397,1
개미 더 털어,개미 더 털어,개미 더 털어,2024-11-15T13:56:40+09:00,0.0855,0.8784,0.0362,1
신용 언제쯤 털림? 그래야 하락세 진정될 것 같은데,신용 언제쯤 털림 그래야 하락세 진정될 것 같은데,신용 언제쯤 털림? 그래야 하락세 진정될 것 같은데,2024-11-14T18:26:25+09:00,0.4459,0.3883,0.1658,0
길게 보고 갑니다.. 지금 세우고있는 공장들 가동되고 매출올라가는건 자명한 일이죠.,길게 보고 갑니다 지금 세우고있는 공장들 가동되고 매출올라가는건 자명한 일이죠,길게 보고 갑니다.. 지금 세우고있는 공장들 가동되고 매출올라가는건 자명한 일이죠.,2024-09-19T18:29:27+09:00,0.1235,0.6851,0.1914,1
8만기념,8만기념,8만기념,2024-03-28T11:36:49+09:00,0.0239,0.9398,0.0363,1
"잘먹고갑니다
나중에 떨어질때 다시옵니다",잘먹고갑니다 나중에 떨어질때 다시옵니다,잘먹고갑니다 나중에 떨어질때 다시옵니다,2025-03-12T15:56:03+09:00,0.2773,0.381,0.3417,1
"ㅎㅎ 이제 시작임
패닉셀 나올때까지 떨어지다가
V자 반등 못하고 1~2년간 횡보할꺼임.

이거 감당할수 있으면 매수하셈",이제 시작임 패닉셀 나올때까지 떨어지다가 V자 반등 못하고 12년간 횡보할꺼임 이거 감당할수 있으면 매수하셈,ㅎㅎ 이제 시작임 패닉셀 나올때까지 떨어지다가 V자 반등 못하고 12년간 횡보할꺼임. 이거 감당할수 있으면 매수하셈,2024-11-29T11:43:51+09:00,0.3162,0.1182,0.5657,2
어느 지름신이 날 유도 하였는가....,어느 지름신이 날 유도 하였는가,어느 지름신이 날 유도 하였는가....,2024-11-13T14:43:23+09:00,0.087,0.8645,0.0484,1
4만 5천원 찍을 듯...,4만 5천원 찍을 듯,4만 5천원 찍을 듯...,2024-11-13T09:34:50+09:00,0.0432,0.8631,0.0937,1
도박장 오픈 1분전,도박장 오픈 1분전,도박장 오픈 1분전,2025-02-06T08:59:39+09:00,0.1505,0.5258,0.3236,1
너 진짜 너무하다 너무해,너 진짜 너무하다 너무해,너 진짜 너무하다 너무해,2024-04-26T14:57:39+09:00,0.0617,0.9107,0.0277,1
하이닉스 만큼 해놓고. 올려달라해,하이닉스 만큼 해놓고 올려달라해,하이닉스 만큼 해놓고. 올려달라해,2024-08-01T11:41:38+09:00,0.1147,0.8195,0.0658,1
"내려갑니다
문이 닫힙니다 
5층",내려갑니다 문이 닫힙니다 5층,내려갑니다 문이 닫힙니다 5층,2024-09-24T11:47:20+09:00,0.2608,0.3998,0.3394,1
천안문 사라진 그목소리 당신도 그 일부가 될 수 있습니다,천안문 사라진 그목소리 당신도 그 일부가 될 수 있습니다,천안문 사라진 그목소리 당신도 그 일부가 될 수 있습니다,2025-01-03T12:42:35+09:00,0.1322,0.7887,0.0792,1
뉴스증권사에서 반도체 빨대부터 알아봤다,뉴스증권사에서 반도체 빨대부터 알아봤다,뉴스증권사에서 반도체 빨대부터 알아봤다,2024-01-12T13:57:50+09:00,0.1622,0.7858,0.052,1
외인이 던진걸 기관이 받아주면 양전 할듯요~,외인이 던진걸 기관이 받아주면 양전 할듯요,외인이 던진걸 기관이 받아주면 양전 할듯요,2023-06-05T10:32:44+09:00,0.1132,0.8136,0.0733,1
외국인들 매수 전까지 기다리자~~~~,외국인들 매수 전까지 기다리자,외국인들 매수 전까지 기다리자,2024-09-10T13:18:04+09:00,0.1627,0.1298,0.7075,2
또 퇴각하니,또 퇴각하니,또 퇴각하니,2025-02-14T15:04:19+09:00,0.1175,0.8487,0.0339,1
4만ㅎㅇ,4만,4만ㅎㅇ,2024-11-14T16:52:10+09:00,0.0257,0.9407,0.0336,1
"재용이는 공부 했어야지
사업가 노노 ㅠ
아부지 안 닮았어
엄마 닮았는가베 ㅠㅠ",재용이는 공부 했어야지 사업가 노노 아부지 안 닮았어 엄마 닮았는가베,재용이는 공부 했어야지 사업가 노노 ㅠ 아부지 안 닮았어 엄마 닮았는가베 ㅠㅠ,2024-10-23T11:21:53+09:00,0.1013,0.8572,0.0415,1
일주일에 한주씩 정립,일주일에 한주씩 정립,일주일에 한주씩 정립,2024-08-08T10:43:44+09:00,0.0522,0.9102,0.0377,1
그냥 나는 산다.,그냥 나는 산다,그냥 나는 산다.,2024-12-05T15:20:13+09:00,0.0483,0.9002,0.0515,1
좀 팍팍 사봐 애들아 ~,좀 팍팍 사봐 애들아,좀 팍팍 사봐 애들아,2024-06-25T11:44:17+09:00,0.0554,0.8932,0.0514,1
아 시외 57200 추매한다는게  팔았네 써글ㅜ,아 시외 57200 추매한다는게 팔았네 써글,아 시외 57200 추매한다는게 팔았네 써글ㅜ,2024-10-31T15:52:03+09:00,0.3467,0.53,0.1233,1
오늘의 MVP 기관형,오늘의 MVP 기관형,오늘의 MVP 기관형,2024-10-14T15:40:22+09:00,0.0389,0.9252,0.0359,1
장 마감전에 외국인 다 팔고 나갈듯..,장 마감전에 외국인 다 팔고 나갈듯,장 마감전에 외국인 다 팔고 나갈듯..,2024-11-21T10:43:03+09:00,0.5156,0.262,0.2224,0
삼성  널 사는이유는  안봐도 되서야,삼성 널 사는이유는 안봐도 되서야,삼성 널 사는이유는 안봐도 되서야,2024-06-10T11:18:26+09:00,0.0929,0.8722,0.0349,1
